5, 0, 150, 150, 155, 39, 0, 14, 14, 5, 65, 1.53398, 2
4, 0, 150, 150, 155, 34, 0, 16, 12, 4, 49, 1.53398, 2
3, 0, 150, 150, 155, 29, 0, 19, 18, 3, 162, 1.53398, 2
2, 0, 150, 150, 155, 24, 0, 13, 11, 2, 154, 1.53398, 2
1, 0, 150, 150, 155, 19, 0, 19, 19, 1, 19, 1.53398, 2
0, 0, 150, 150, 155, 14, 0, 15, 19, 0, 192, 1.53398, 2
11, 0, 200, 200, 205, 39, 19, 18, 10, 11, 38, 1.62242, 7
10, 0, 200, 200, 205, 34, 19, 10, 14, 10, 49, 1.62242, 7
9, 0, 200, 200, 205, 29, 19, 16, 14, 9, 192, 1.62242, 5
8, 0, 200, 200, 205, 24, 19, 13, 19, 8, 123, 1.62242, 5
7, 0, 200, 200, 205, 19, 19, 16, 12, 7, 47, 1.62242, 7
6, 0, 200, 200, 205, 14, 14, 11, 13, 6, 42, 1.62242, 7
17, 0, 250, 250, 255, 39, 0, 16, 17, 17, 59, 1.61962, 2
16, 0, 250, 250, 255, 34, 0, 15, 15, 16, 44, 1.61962, 2
15, 0, 250, 250, 255, 29, 0, 18, 19, 15, 148, 1.61962, 2
14, 0, 250, 250, 255, 24, 0, 17, 12, 14, 83, 1.61962, 2
13, 0, 250, 250, 255, 19, 0, 16, 15, 13, 241, 1.61962, 2
12, 0, 250, 250, 255, 14, 0, 15, 18, 12, 62, 1.61962, 2
23, 0, 300, 300, 305, 39, 24, 18, 15, 23, 79, 1.59211, 5
22, 0, 300, 300, 305, 34, 24, 12, 17, 22, 60, 1.59211, 7
21, 0, 300, 300, 305, 29, 24, 15, 19, 21, 44, 1.59211, 7
20, 0, 300, 300, 305, 24, 24, 18, 13, 20, 119, 1.59211, 5
19, 0, 300, 300, 305, 19, 19, 13, 12, 19, 4, 1.59211, 7
18, 0, 300, 300, 305, 14, 24, 18, 15, 18, 31, 1.62571, 7
29, 0, 350, 350, 355, 39, 24, 12, 10, 29, 116, 1.61706, 5
28, 0, 350, 350, 355, 34, 24, 18, 10, 28, 73, 1.61706, 7
27, 0, 350, 350, 355, 29, 24, 11, 15, 27, 95, 1.61706, 5
26, 0, 350, 350, 355, 24, 24, 18, 13, 26, 159, 1.61706, 5
25, 0, 350, 350, 355, 19, 19, 19, 12, 25, 46, 1.61706, 7
24, 0, 350, 350, 355, 14, 24, 13, 12, 24, 31, 1.61706, 7
35, 0, 400, 400, 405, 39, 19, 14, 19, 35, 102, 1.65035, 5
34, 0, 400, 400, 405, 34, 24, 14, 10, 34, 38, 1.65035, 7
33, 0, 400, 400, 405, 29, 19, 10, 17, 33, 157, 1.65035, 5
32, 0, 400, 400, 405, 24, 24, 14, 14, 32, 10, 1.65035, 7
31, 0, 400, 400, 405, 19, 19, 13, 10, 31, 90, 1.65035, 5
30, 0, 400, 400, 405, 14, 24, 17, 16, 30, 94, 1.65035, 5
41, 0, 450, 450, 455, 39, 24, 15, 18, 41, 39, 1.66115, 7
40, 0, 450, 450, 455, 34, 24, 19, 13, 40, 25, 1.66115, 7
39, 0, 450, 450, 455, 29, 24, 19, 12, 39, 141, 1.66115, 5
38, 0, 450, 450, 455, 24, 24, 10, 17, 38, 130, 1.66115, 5
37, 0, 450, 450, 455, 19, 19, 12, 11, 37, 161, 1.66115, 5
36, 0, 450, 450, 455, 14, 24, 14, 19, 36, 182, 1.66115, 5
47, 0, 500, 500, 505, 39, 19, 17, 14, 47, 93, 1.66673, 7
46, 0, 500, 500, 505, 34, 19, 11, 18, 46, 115, 1.66673, 5
45, 0, 500, 500, 505, 29, 19, 15, 12, 45, 168, 1.66673, 5
44, 0, 500, 500, 505, 24, 19, 19, 14, 44, 17, 1.66673, 7
43, 0, 500, 500, 505, 19, 19, 15, 19, 43, 192, 1.66673, 5
42, 0, 500, 500, 505, 14, 19, 13, 16, 42, 170, 1.66673, 5
53, 0, 550, 550, 555, 39, 24, 15, 16, 53, 119, 1.65002, 5
52, 0, 550, 550, 555, 34, 24, 10, 11, 52, 54, 1.65002, 7
51, 0, 550, 550, 555, 29, 24, 13, 14, 51, 82, 1.65002, 7
50, 0, 550, 550, 555, 24, 24, 14, 16, 50, 18, 1.65002, 7
49, 0, 550, 550, 555, 19, 19, 18, 14, 49, 107, 1.65002, 5
48, 0, 550, 550, 555, 14, 24, 19, 14, 48, 36, 1.65002, 7
59, 0, 600, 600, 605, 39, 19, 19, 15, 59, 191, 1.63634, 5
58, 0, 600, 600, 605, 34, 0, 13, 19, 58, 196, 1.63634, 2
57, 0, 600, 600, 605, 29, 24, 10, 14, 57, 107, 1.63634, 5
56, 0, 600, 600, 605, 24, 24, 11, 13, 56, 18, 1.63634, 7
55, 0, 600, 600, 605, 19, 19, 15, 10, 55, 83, 1.63634, 7
54, 0, 600, 600, 605, 14, 24, 10, 15, 54, 90, 1.63634, 7
65, 0, 650, 650, 655, 39, 0, 13, 19, 65, 165, 1.68381, 2
64, 0, 650, 650, 655, 34, 0, 16, 18, 64, 68, 1.68381, 2
63, 0, 650, 650, 655, 29, 0, 10, 14, 63, 145, 1.68381, 2
62, 0, 650, 650, 655, 24, 0, 13, 17, 62, 151, 1.68381, 2
61, 0, 650, 650, 655, 19, 19, 13, 13, 61, 192, 1.68381, 5
60, 0, 650, 650, 655, 14, 0, 17, 15, 60, 118, 1.68381, 2
71, 0, 700, 700, 705, 39, 24, 16, 16, 71, 110, 1.68381, 5
70, 0, 700, 700, 705, 34, 24, 19, 17, 70, 175, 1.68381, 5
