5, 0, 150, 150, 155, 39, 0, 14, 14, 5, 110, 2
4, 0, 150, 150, 155, 34, 0, 16, 12, 4, 13, 2
3, 0, 150, 150, 155, 29, 0, 19, 18, 3, 11, 2
2, 0, 150, 150, 155, 24, 0, 13, 11, 2, 112, 2
1, 0, 150, 150, 155, 19, 0, 19, 19, 1, 147, 2
0, 0, 150, 150, 155, 14, 0, 15, 19, 0, 151, 2
11, 0, 200, 200, 205, 39, 19, 15, 15, 11, 10, 7
10, 0, 200, 200, 205, 34, 19, 19, 17, 10, 101, 5
9, 0, 200, 200, 205, 29, 19, 16, 10, 9, 129, 5
8, 0, 200, 200, 205, 24, 19, 15, 16, 8, 23, 7
7, 0, 200, 200, 205, 19, 19, 19, 13, 7, 133, 5
6, 0, 200, 200, 205, 14, 14, 15, 15, 6, 66, 5
17, 0, 250, 250, 255, 39, 19, 19, 11, 17, 147, 5
16, 0, 250, 250, 255, 34, 19, 15, 17, 16, 153, 5
15, 0, 250, 250, 255, 29, 19, 14, 11, 15, 57, 7
14, 0, 250, 250, 255, 24, 19, 11, 14, 14, 223, 5
13, 0, 250, 250, 255, 19, 19, 13, 12, 13, 89, 5
12, 0, 250, 250, 255, 14, 19, 11, 13, 12, 146, 5
23, 0, 300, 300, 305, 39, 19, 12, 18, 23, 25, 7
22, 0, 300, 300, 305, 34, 19, 13, 14, 22, 159, 5
21, 0, 300, 300, 305, 29, 19, 12, 17, 21, 106, 5
20, 0, 300, 300, 305, 24, 24, 16, 16, 20, 105, 5
19, 0, 300, 300, 305, 19, 19, 18, 12, 19, 74, 5
18, 0, 300, 300, 305, 14, 19, 13, 12, 18, 27, 7
29, 0, 350, 350, 355, 39, 19, 19, 18, 29, 96, 5
28, 0, 350, 350, 355, 34, 19, 17, 12, 28, 85, 5
27, 0, 350, 350, 355, 29, 19, 12, 13, 27, 5, 7
26, 0, 350, 350, 355, 24, 24, 18, 13, 26, 141, 5
25, 0, 350, 350, 355, 19, 19, 11, 16, 25, 66, 7
24, 0, 350, 350, 355, 14, 19, 19, 12, 24, 104, 5
35, 0, 400, 400, 405, 39, 24, 15, 12, 35, 44, 7
34, 0, 400, 400, 405, 34, 24, 12, 12, 34, 162, 5
33, 0, 400, 400, 405, 29, 24, 10, 10, 33, 112, 5
32, 0, 400, 400, 405, 24, 24, 12, 19, 32, 105, 5
31, 0, 400, 400, 405, 19, 19, 16, 11, 31, 104, 5
30, 0, 400, 400, 405, 14, 24, 11, 15, 30, 28, 7
41, 0, 450, 450, 455, 39, 19, 18, 16, 41, 198, 5
40, 0, 450, 450, 455, 34, 19, 15, 17, 40, 15, 7
39, 0, 450, 450, 455, 29, 19, 11, 15, 39, 219, 5
38, 0, 450, 450, 455, 24, 24, 11, 13, 38, 153, 5
37, 0, 450, 450, 455, 19, 19, 13, 19, 37, 28, 7
36, 0, 450, 450, 455, 14, 19, 13, 13, 36, 143, 5
47, 0, 500, 500, 505, 39, 19, 17, 10, 47, 96, 7
