5, 0, 150, 150, 155, 39, 0, 12, 10, 5, 2, 2
4, 0, 150, 150, 155, 34, 0, 16, 16, 4, 36, 2
3, 0, 150, 150, 155, 29, 0, 19, 18, 3, 117, 2
2, 0, 150, 150, 155, 24, 0, 19, 18, 2, 217, 2
1, 0, 150, 150, 155, 19, 0, 13, 11, 1, 19, 2
0, 0, 150, 150, 155, 14, 0, 13, 18, 0, 119, 2
11, 0, 200, 200, 205, 39, 0, 14, 16, 11, 88, 2
10, 0, 200, 200, 205, 34, 24, 13, 13, 10, 119, 5
9, 0, 200, 200, 205, 29, 24, 17, 10, 9, 119, 5
8, 0, 200, 200, 205, 24, 0, 14, 18, 8, 149, 2
7, 0, 200, 200, 205, 19, 0, 16, 18, 7, 12, 2
6, 0, 200, 200, 205, 14, 24, 13, 13, 6, 51, 5
17, 0, 250, 250, 255, 39, 24, 18, 18, 17, 10, 5
16, 0, 250, 250, 255, 34, 24, 17, 15, 16, 119, 5
15, 0, 250, 250, 255, 29, 24, 12, 17, 15, 151, 5
14, 0, 250, 250, 255, 24, 24, 18, 11, 14, 14, 5
13, 0, 250, 250, 255, 19, 19, 11, 13, 13, 22, 5
12, 0, 250, 250, 255, 14, 24, 18, 19, 12, 40, 5
23, 0, 300, 300, 305, 39, 19, 11, 19, 23, 137, 5
22, 0, 300, 300, 305, 34, 19, 14, 11, 22, 92, 5
21, 0, 300, 300, 305, 29, 19, 12, 12, 21, 17, 7
20, 0, 300, 300, 305, 24, 19, 16, 16, 20, 234, 5
19, 0, 300, 300, 305, 19, 19, 12, 17, 19, 115, 5
18, 0, 300, 300, 305, 14, 19, 15, 10, 18, 97, 5
29, 0, 350, 350, 355, 39, 24, 19, 12, 29, 212, 5
28, 0, 350, 350, 355, 34, 24, 19, 11, 28, 133, 5
27, 0, 350, 350, 355, 29, 24, 15, 12, 27, 2, 7
26, 0, 350, 350, 355, 24, 24, 13, 12, 26, 46, 7
25, 0, 350, 350, 355, 19, 19, 12, 11, 25, 157, 5
24, 0, 350, 350, 355, 14, 24, 10, 17, 24, 42, 7
35, 0, 400, 400, 405, 39, 24, 10, 10, 35, 161, 5
34, 0, 400, 400, 405, 34, 24, 17, 14, 34, 170, 5
33, 0, 400, 400, 405, 29, 24, 10, 10, 33, 11, 7
32, 0, 400, 400, 405, 24, 24, 14, 10, 32, 175, 5
31, 0, 400, 400, 405, 19, 19, 14, 19, 31, 97, 5
30, 0, 400, 400, 405, 14, 14, 15, 11, 30, 90, 5
41, 0, 450, 450, 455, 39, 24, 19, 11, 41, 145, 5
40, 0, 450, 450, 455, 34, 24, 10, 13, 40, 157, 5
39, 0, 450, 450, 455, 29, 19, 12, 15, 39, 10, 5
38, 0, 450, 450, 455, 24, 24, 14, 10, 38, 69, 7
37, 0, 450, 450, 455, 19, 19, 10, 14, 37, 74, 5
36, 0, 450, 450, 455, 14, 24, 15, 14, 36, 44, 7
47, 0, 500, 500, 505, 39, 19, 15, 19, 47, 83, 5
46, 0, 500, 500, 505, 34, 19, 11, 12, 46, 30, 7
45, 0, 500, 500, 505, 29, 19, 10, 11, 45, 85, 7
44, 0, 500, 500, 505, 24, 19, 11, 16, 44, 97, 5
43, 0, 500, 500, 505, 19, 19, 10, 15, 43, 94, 5
42, 0, 500, 500, 505, 14, 19, 18, 15, 42, 60, 5
53, 0, 550, 550, 555, 39, 24, 12, 16, 53, 141, 5
52, 0, 550, 550, 555, 34, 0, 17, 11, 52, 145, 2
51, 0, 550, 550, 555, 29, 24, 11, 11, 51, 132, 5
50, 0, 550, 550, 555, 24, 0, 19, 19, 50, 165, 2
49, 0, 550, 550, 555, 19, 0, 16, 14, 49, 70, 2
